番号,名称,電話番号,郵便番号,都道府県,市区町村,全国地方公共団体コード,全体表記,町又は大字以降,備考,,Longitude,Latitude,isTrustful,0
11,北海道警察本部,011-251-0110,608520,北海道,札幌市中央区,11011,北海道札幌市中央区北二条西七丁目,北二条西7,,北海道/札幌市/中央区/北二条/西七丁目,141.34586,43.06305,5,6
12,北海道警察函館方面本部,0138-31-0110,408511,北海道,函館市,12025,北海道函館市五稜郭町15番５号,五稜郭町15-5,,北海道/函館市/五稜郭町/１５番,140.75188,41.79590,5,7
13,北海道警察旭川方面本部,0166-35-0110,788511,北海道,旭川市,12041,北海道旭川市一条通二十五丁目487番地の６,一条通25-487-6,,北海道/旭川市/一条通/二十五丁目/４８７番地,142.38612,43.75838,5,7
14,北海道警察釧路方面本部,0154-25-0110,858511,北海道,釧路市,12068,北海道釧路市黒金町十丁目５番地１,黒金町10-5-1,,北海道/釧路市/黒金町/十丁目/５番地,144.38112,42.98677,5,7
15,北海道警察北見方面本部,0157-24-0110,908511,北海道,北見市,12084,北海道北見市青葉町６番１号,青葉町6-1,,北海道/北見市/青葉町/６番,143.89929,43.81379,5,7
20,青森県警察本部,017-723-4211,300801,青森県,青森市,22012,青森県青森市新町二丁目３番１号,新町2-3-1,,青森県/青森市/新町/二丁目/３番,140.74037,40.82535,5,7
30,岩手県警察本部,019-653-0110,208540,岩手県,盛岡市,32018,岩手県盛岡市内丸８番10号,内丸8-10,,岩手県/盛岡市/内丸/８番,141.15071,39.70312,5,7
40,宮城県警察本部,022-221-7171,9808410,宮城県,仙台市青葉区,41017,宮城県仙台市青葉区本町三丁目８番１号,本町3-8-1,,宮城県/仙台市/青葉区/本町/三丁目/８番,140.87178,38.26849,5,7
50,秋田県警察本部,018-863-1111,100951,秋田県,秋田市,52019,秋田県秋田市山王四丁目１番５号,山王4-1-5,,秋田県/秋田市/山王/四丁目/１番,140.10260,39.71813,5,7
60,山形県警察本部,023-626-0110,9908577,山形県,山形市,62014,山形県山形市松波二丁目８番１号,松波2-8-1,,山形県/山形市/松波/二丁目/８番,140.36293,38.24030,5,7
70,福島県警察本部,024-522-2151,9608686,福島県,福島市,72010,福島県福島市杉妻町５番75号,杉妻町5-75,,福島県/福島市/杉妻町/５番,140.47044,37.75158,5,7
80,警視庁,03-3581-4321,1008929,東京都,千代田区,131016,東京都千代田区霞が関二丁目１番１号,霞が関2-1-1,,東京都/千代田区/霞が関/二丁目/１番,139.75113,35.67619,5,7
90,茨城県警察本部,029-301-0110,3108550,茨城県,水戸市,82015,茨城県水戸市笠原町978番６,笠原町978-6,,茨城県/水戸市/笠原町/９７８番地,140.44408,36.34068,5,7
100,栃木県警察本部,028-621-0110,3208510,栃木県,宇都宮市,92011,栃木県宇都宮市塙田一丁目１番20号,塙田1-1-20,,栃木県/宇都宮市/塙田/一丁目/１番,139.88350,36.56613,5,7
110,群馬県警察本部,027-243-0110,3718580,群馬県,前橋市,102016,群馬県前橋市大手町一丁目１番１号,大手町1-1-1,,群馬県/前橋市/大手町/一丁目/１番,139.06073,36.39088,5,7
120,埼玉県警察本部,048-832-0110,3308533,埼玉県,さいたま市浦和区,111074,埼玉県さいたま市浦和区高砂三丁目15番１号,高砂3-15-1,,埼玉県/さいたま市/浦和区/高砂/三丁目/１５番,139.64900,35.85736,5,7
130,千葉県警察本部,043-201-0110,2608668,千葉県,千葉市中央区,121011,千葉県千葉市中央区長洲１丁目９番１号,長洲1-9-1,,千葉県/千葉市/中央区/長洲/一丁目/９番,140.12321,35.60300,5,7
140,神奈川県警察本部,045-211-1212,2318403,神奈川県,横浜市中区,141046,神奈川県横浜市中区海岸通二丁目４番地,海岸通2-4,,神奈川県/横浜市/中区/海岸通/二丁目/４番地,139.64165,35.44958,5,7
150,新潟県警察本部,025-285-0110,9508553,新潟県,新潟市中央区,151033,新潟県新潟市中央区新光町４番地１,新光町4-1,,新潟県/新潟市/中央区/新光町/４番,139.02333,37.90245,5,7
160,山梨県警察本部,055-221-0110,4008586,山梨県,甲府市,192015,山梨県甲府市丸の内１丁目６番１号,丸の内1-6-1,,山梨県/甲府市/丸の内/一丁目/６番,138.56906,35.66489,5,7
170,長野県警察本部,026-233-0110,3808510,長野県,長野市,202011,長野県長野市大字南長野字幅下692番地２,大字南長野字幅下692-2,,長野県/長野市/大字南長野,138.17264,36.65671,5,5
180,静岡県警察本部,054-271-0110,4208610,静岡県,静岡市葵区,221015,静岡県静岡市葵区追手町９番６号,追手町9-6,,静岡県/静岡市/葵区/追手町/９番,138.38132,34.97700,5,7
190,富山県警察本部,076-441-2211,9308570,富山県,富山市,162019,富山県富山市新総曲輪１番７号,新総曲輪1-7,,富山県/富山市/新総曲輪/１番,137.21082,36.69580,5,7
200,石川県警察本部,076-225-0110,9208553,石川県,金沢市,172014,石川県金沢市鞍月一丁目１番地,鞍月1-1,,石川県/金沢市/鞍月/一丁目/１番地,136.62535,36.59482,5,7
210,福井県警察本部,0776-22-2880,9108515,福井県,福井市,182010,福井県福井市大手三丁目17番１号,大手3-17-1,,福井県/福井市/大手/三丁目/１７番,136.22128,36.06562,5,7
220,岐阜県警察本部,058-271-2424,5008501,岐阜県,岐阜市,212016,岐阜県岐阜市薮田南二丁目１番１号,薮田南2-1-1,,岐阜県/岐阜市/薮田南/二丁目/１番,136.72272,35.39169,5,7
230,愛知県警察本部,052-951-1611,4608502,愛知県,名古屋市中区,231061,愛知県名古屋市中区三の丸二丁目１番１号,三の丸2-1-1,,愛知県/名古屋市/中区/三の丸/二丁目/１番,136.90120,35.18085,5,7
240,三重県警察本部,059-222-0110,5148514,三重県,津市,242012,三重県津市栄町一丁目100番地,栄町1-100,,三重県/津市/栄町/一丁目/１００番地,136.50827,34.72639,5,7
250,滋賀県警察本部,077-522-1231,5208501,滋賀県,大津市,252018,滋賀県大津市打出浜1番10号,打出浜1-10,,滋賀県/大津市/打出浜/１番,135.87311,35.00746,5,7
260,京都府警察本部,075-451-9111,6028550,京都府,京都市上京区,261025,京都府京都市上京区下長者町通新町西入藪之内町85番地３,下長者町通新町西入藪之内町85-3,,京都府/京都市/上京区/下長者町通室町西入,135.75343,35.02072,4,0
270,大阪府警察本部,06-6943-1234,5408540,大阪府,大阪市中央区,271284,大阪府大阪市中央区大手前三丁目１番11号,大手前3-1-11,,大阪府/大阪市/中央区/大手前/三丁目/１番,135.52023,34.68425,5,7
280,兵庫県警察本部,078-341-7441,6508510,兵庫県,神戸市中央区,281107,兵庫県神戸市中央区下山手通五丁目４番１号,下山手通5-4-1,,兵庫県/神戸市/中央区/下山手通/五丁目/４番,135.18355,34.69044,5,7
290,奈良県警察本部,0742-23-0110,6308578,奈良県,奈良市,292010,奈良県奈良市登大路町80番地,登大路町80,,奈良県/奈良市/登大路町/８０番地,135.83372,34.68616,5,7
300,和歌山県警察本部,073-423-0110,6408588,和歌山県,和歌山市,302015,和歌山県和歌山市小松原通一丁目１番地１,小松原通1-1-1,,和歌山県/和歌山市/小松原通/一丁目/１番地,135.16766,34.22607,5,7
310,鳥取県警察本部,0857-23-0110,6808520,鳥取県,鳥取市,312011,鳥取県鳥取市東町一丁目271番地,東町1-271,,鳥取県/鳥取市/東町/一丁目/２７１番地,134.23840,35.50343,5,7
320,島根県警察本部,0852-26-0110,6908510,島根県,松江市,322016,島根県松江市殿町８番地１,殿町8-1,,島根県/松江市/殿町/８番地,133.05080,35.47048,5,7
330,岡山県警察本部,086-234-0110,7008512,岡山県,岡山市北区,331015,岡山県岡山市北区内山下二丁目４番６号,内山下2-4-6,,岡山県/岡山市/北区/内山下/二丁目/４番,133.93488,34.66159,5,7
340,広島県警察本部,082-228-0110,7308507,広島県,広島市中区,341011,広島県広島市中区基町９番42号,基町9-42,,広島県/広島市/中区/基町/９番,132.46115,34.39588,5,7
350,山口県警察本部,083-933-0110,7538504,山口県,山口市,352039,山口県山口市滝町１番１号,滝町1-1,,山口県/山口市/滝町/１番,131.47150,34.18597,5,7
360,徳島県警察本部,088-622-3101,7708510,徳島県,徳島市,362018,徳島県徳島市万代町二丁目５番地の１,万代町2-5-1,,徳島県/徳島市/万代町/二丁目/５番地,134.56001,34.06493,5,7
370,香川県警察本部,087-833-0110,7608579,香川県,高松市,372013,香川県高松市番町四丁目１番10号,番町4-1-10,,香川県/高松市/番町/四丁目/１番,134.04329,34.34044,5,7
380,愛媛県警察本部,089-934-0110,7908573,愛媛県,松山市,382019,愛媛県松山市南堀端町２番地２,南堀端町2-2,,愛媛県/松山市/南堀端町/２番,132.76295,33.83905,5,7
390,高知県警察本部,088-826-0110,7808544,高知県,高知市,392014,高知県高知市丸ノ内二丁目４番30号,丸ノ内2-4-30,,高知県/高知市/丸ノ内/二丁目/４番,133.53116,33.56304,5,7
400,福岡県警察本部,092-641-4141,8128576,福岡県,福岡市博多区,401323,福岡県福岡市博多区東公園７番７号,東公園7-7,,福岡県/福岡市/博多区/東公園/７番,130.41801,33.60620,5,7
410,佐賀県警察本部,0952-24-1111,8408540,佐賀県,佐賀市,412015,佐賀県佐賀市松原一丁目１番16号,松原1-1-16,,佐賀県/佐賀市/松原/一丁目/１番,130.29829,33.25127,5,7
420,長崎県警察本部,095-820-0110,8508548,長崎県,長崎市,422011,長崎県長崎市尾上町３番３号,尾上町3-3,,長崎県/長崎市/尾上町/３番,129.86861,32.74982,5,7
430,熊本県警察本部,096-381-0110,8628610,熊本県,熊本市中央区,431010,熊本県熊本市中央区水前寺六丁目18番１号,水前寺6-18-1,,熊本県/熊本市/中央区/水前寺/六丁目/１８番,130.74200,32.78938,5,7
440,大分県警察本部,097-536-2131,8708502,大分県,大分市,442011,大分県大分市大手町三丁目１番１号,大手町3-1-1,,大分県/大分市/大手町/三丁目/１番,131.61243,33.23823,5,7
450,宮崎県警察本部,0985-31-0110,8808509,宮崎県,宮崎市,452017,宮崎県宮崎市旭一丁目８番28号,旭1-8-28,,宮崎県/宮崎市/旭/一丁目/８番,131.42700,31.90986,5,7
460,鹿児島県警察本部,099-206-0110,8908566,鹿児島県,鹿児島市,462012,鹿児島県鹿児島市鴨池新町10番１号,鴨池新町10-1,,鹿児島県/鹿児島市/鴨池新町/１０番,130.55821,31.56007,5,7
470,沖縄県警察本部,098-862-0110,9000021,沖縄県,那覇市,472018,沖縄県那覇市泉崎一丁目２番２号,泉崎1-2-2,,沖縄県/那覇市/泉崎/一丁目/２番,127.67946,26.21278,5,7